DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/13/2025 17:00,13/11 17:00,428.94,429,427,12.56,52,4,48,0,1
11/13/2025 18:00,13/11 18:00,428.91,429,427,14.27,52,4,48,0,1
11/13/2025 19:00,13/11 19:00,428.88,429,427,15.17,52,4,48,0,1
11/13/2025 20:00,13/11 20:00,428.86,429,427,18.45,52,4,48,0,1
11/13/2025 21:00,13/11 21:00,428.83,429,427,21.39,52,4,48,0,1
11/13/2025 22:00,13/11 22:00,428.81,429,427,28.12,52,4,48,0,1
11/13/2025 23:00,13/11 23:00,428.83,429,427,50.78,20,4,16,0,1
11/14/2025 0:00,14/11 00:00,428.88,429,427,47.33,4,4,0,0,1
11/14/2025 1:00,14/11 01:00,428.93,429,427,44.21,4,4,0,0,1
11/14/2025 2:00,14/11 02:00,428.94,429,427,19.45,4,4,0,0,1
11/14/2025 3:00,14/11 03:00,428.94,429,427,10.69,4,4,0,0,1
11/14/2025 4:00,14/11 04:00,428.95,429,427,9.78,4,4,0,0,1
11/14/2025 5:00,14/11 05:00,428.95,429,427,8.54,4,4,0,0,1
11/14/2025 6:00,14/11 06:00,428.96,429,427,8.79,4,4,0,0,1
11/14/2025 7:00,14/11 07:00,428.96,429,427,7.62,4,4,0,0,1
11/14/2025 8:00,14/11 08:00,428.97,429,427,9.71,4,4,0,0,1
11/14/2025 9:00,14/11 09:00,428.97,429,427,7.84,4,4,0,0,1
11/14/2025 10:00,14/11 10:00,428.98,429,427,10.61,4,4,0,0,1
11/14/2025 11:00,14/11 11:00,428.98,429,427,9.87,4,4,0,0,1
11/14/2025 12:00,14/11 12:00,428.99,429,427,12.61,4,4,0,0,1
11/14/2025 13:00,14/11 13:00,428.99,429,427,14.84,4,4,0,0,1
11/14/2025 14:00,14/11 14:00,429,429,427,18.56,4,4,0,0,1
11/14/2025 15:00,14/11 15:00,429,429,427,15.38,10,10,0,0,1
11/14/2025 16:00,14/11 16:00,428.99,429,427,37.94,47.94,10,37.94,0,1
11/14/2025 17:00,14/11 17:00,428.99,429,427,56.82,58,10,48,0,1
11/14/2025 18:00,14/11 18:00,428.99,429,427,59.17,58,10,48,0,1
11/14/2025 19:00,14/11 19:00,428.99,429,427,58.64,58,10,48,0,1
11/14/2025 20:00,14/11 20:00,428.98,429,427,50.39,58,10,48,0,1
11/14/2025 21:00,14/11 21:00,428.98,429,427,55.78,58,10,48,0,1
11/14/2025 22:00,14/11 22:00,428.98,429,427,61.83,58,10,48,0,1
11/14/2025 23:00,14/11 23:00,428.99,429,427,69.12,58,10,48,0,1
11/15/2025 0:00,15/11 00:00,428.99,429,427,64.29,52.4,10,42.4,0,1
